Plant_species,Display_size,Floral_depth,Community
Campanula_scheuchzeri,17.68,18.71,18
Geum_montanum,19.25,11.39,18
Saxifraga_androsacea,9.89,4.89,18
Ligusticum_mutellina,19.42,0.82,18
Parnassia_palustris,20.65,9.41,18
Persicaria_vivipara,11.19,4.35,18
Leontodon_hispidus,35.62,16.91,18
Trifolium_pratense,23.54,14.83,18
Ranunculus_montanus,19.69,12.08,18
Saxifraga_aizoides,14.57,6.81,18
Crepis_aurea,27.17,16.2,18
Leontodon_hispidus,33.5,21.87,18
Ranunculus_alpestris,20.87,5.22,18
Ranunculus_montanus,13.71,10.53,18
Geum_montanum,25.76,13.69,18
Parnassia_palustris,26.17,12.48,18
Trifolium_pratense,32.08,15.65,18
Potentilla_aurea,13.56,6.77,18
Saxifraga_aizoides,16.43,3.35,18
Saxifraga_aizoides,21.59,3.07,18
Ranunculus_alpestris,15.86,4.15,18
Myosotis_alpestris,17.98,4.55,18
Arabis_alpina,18.26,5.9,18
Arabis_alpina,21.39,5.4,18
Ranunculus_montanus,10.67,11.23,18
Ligusticum_mutellina,16.3,1.65,18
Ligusticum_mutellina,27.89,1.05,18
Trifolium_pratense,31.56,16.87,18
Leontodon_hispidus,35.61,20.17,18
Persicaria_vivipara,8.22,4.22,18
Ranunculus_montanus,13.1,13.75,18
Ranunculus_alpestris,15.99,6.69,18
Crepis_aurea,28.13,12.83,18
Ranunculus_montanus,15.74,12.12,18
Arabis_alpina,25.76,7.03,18
Ranunculus_alpestris,16.56,6.58,18
Leontodon_hispidus,33.51,21.6,18
Aconitum_tauricum,39.87,18.26,18
Saxifraga_androsacea,11,4.69,18
Crepis_aurea,36.82,14.72,18
Campanula_scheuchzeri,23.01,16.04,15
Phyteuma_hemisphaericum,11.96,9.52,15
Silene_vulgaris,15.98,16.79,15
Ranunculus_acris,15.93,10.48,15
Silene_acaulis,7.34,7.09,15
Silene_vulgaris,15.32,17.42,15
Thymus_praecox,12.75,5.71,15
Leontodon_hispidus,28.7,13.73,15
Anemone_alpina,23.44,17.64,15
Vaccinium_myrtillus,5.68,5.03,15
Anemone_alpina,21.12,16.9,15
Thymus_praecox,10.63,5,15
Ranunculus_acris,16.14,8.16,15
Geum_montanum,28.65,12.07,15
Ranunculus_acris,13.96,7.55,15
Geum_montanum,30.89,5.89,15
Veratrum_album,244,5.82,15
Anemone_alpina,34.46,19.16,15
Potentilla_erecta,9.9,4.79,15
Anemone_alpina,28.7,17.79,15
Ranunculus_montanus,21.14,10.27,15
Gentiana_acaulis,31.37,38.74,15
Leontodon_hispidus,28.68,13.57,15
Trifolium_repens,15.16,7.43,15
Vaccinium_myrtillus,5.99,4.34,15
Silene_acaulis,7.93,6.23,15
Hypericum_maculatum,14.76,7.06,15
Ranunculus_acris,17.23,6.64,15
Ranunculus_montanus,19.98,10.41,15
Gentiana_acaulis,33.66,46.94,15
Vaccinium_myrtillus,6.33,4.18,15
Vaccinium_myrtillus,6.22,4.42,15
Veratrum_album,294,5.97,15
Phyteuma_hemisphaericum,18.87,12.26,15
Silene_vulgaris,16.35,19.2,15
Veratrum_album,345,10.31,15
Anemone_alpina,39.01,19.75,15
Thymus_praecox,15.48,6.94,15
Leontodon_hispidus,33.63,14.72,15
